StockNum,Title,ItemID,Revision,Notes,MaxQty,Status,EktronID
11-14009P-1,&#8220;Now is the Time to Prevent Whooping Cough&#8221; Poster-African Adults - English,331,11/2012,18&#8243; &#215; 24&#8243; Poster,0,Online,8589975190
11-14009P-2,&#8220;Now is the Time to Prevent Whooping Cough&#8221; Poster-Hispanic Adults - English,350,11/2012,18&#8243; &#215; 24&#8243; Poster,0,Online,8589975191
11-14015P,&#8220;Flu Wants You&#8221; Poster - Bilingual,334,09/2015,18&#8243; &#215; 25&#8243; Poster,50,InStock,8589975189
11-14106,&#8220;First Responders - Get Vaccinated&#8221; Brochure,372,10/2013,,500,InStock,8589984551
11-14106P,&#8220;First Responders - Get Vaccinated&#8221; Poster,373,10/2013,18&#8243; &#215; 24&#8243; Poster,25,InStock,8589984550
11-14120,&#8220;Hepatitis B: What Hospitals Need to Do to Protect Newborns&#8221; Booklet - English,381,11/2013,,100,InStock,8589986158
11-14121,Hepatitis B  Birth Dose Honor Roll - English,376,11/2013,,100,InStock,8589984455
11-14122,Interpretation of Hepatitis B Serologic Test Results - English,395,11/2013,,1000,InStock,8589988402
11-14175,Pertussis Information Sheet - Bilingual,384,03/2014,,0,Online,8589986587
11-14178,"Pertussis TMP-SMZ (Bactrim, Septra, SMX/TMP) for Pertussis PEP Fact Sheet - Bilingual",386,06/2015,,0,Online,8589986588
11-14179,Azithromycin for Pertussis PEP Fact Sheet - Bilingual,387,08/2014,,0,Online,8589986589
11-14202,&#8220;Adults Need Vaccine Too&#8221; Adult Safety Net (ASN) Program Brochure - Bilingual,414,01/2016,,500,InStock,
11-14202P,&#8220;Adults Need Vaccine Too&#8221; Adult Safety Net (ASN) Program Poster - Bilingual,415,10/2015,,50,InStock,
11-14429,"Action Plan for the Prevention, Care, and Treatment of Viral Hepatitis Updated 2014–2016 - English",396,05/2014,,0,Online,8589988403
11-14450P,Pre Teen Vaccine Poster - English,398,08/2014,11&#8243; &#215; 17&#8243; Poster,0,Online,8589993957
11-14451P,HPV Poster - English,399,08/2014,11&#8243; &#215; 17&#8243; Poster,0,Online,8589993958
11-14452P,Meningococcal Poster - English,400,08/2014,11&#8243; &#215; 17&#8243; Poster,0,Online,8589993955
11-14453P,Tdap Poster - English,401,08/2014,11&#8243; &#215; 17&#8243; Poster,0,Online,8589993956
11-14671,&#8220;Important ImmTrac Reminder!&#8221; ImmTrac Adult Consent Reminder Flyer - Bilingual,410,10/2015,,1000,InStock,8590005895
11-14679,&#8220;Important Notice to the General Public&#8221; ImmTrac Reminder Notice - Bilingual,411,09/2015,,1000,InStock,8590005896
59-12547,&#8220;Protect Babies from Hepatitis B for Life&#8221; Provider Brochure - Bilingual,403,07/2012,,0,Online,
59-12818,Perinatal Hepatitis B Prevention Program Manual - English,426,05/2016,For additional copies contact Khalilah.Loggins@dshs.te&#215;as.gov,5,InStock,
59-13390,&#8220;Protect Babies from Hepatitis B for Life&#8221; Perinatal Hepatitis B Prevention Program Provider Poster - Bilingual,422,06/2016,11&#8243; &#215; 17&#8243; Poster,15,InStock,12884905105
59-13391,&#8220;Protect Babies from Hepatitis B for Life&#8221; Perinatal Hepatitis B Prevention Program Parent/Patient Poster - Bilingual,423,06/2016,11&#8243; &#215; 17&#8243; Poster,15,InStock,12884905104
C-7,ImmTrac Immunization Registry Consent Form - Bilingual,48,05/2012,Birth Registrars DO NOT use this form.,500,InStock,8589987242
C-8,ImmTrac &#8221;Withdrawal of Consent & Confirmation Form&#8221; - Bilingual,124,02/2011,,0,Online,49064
C-9,Documenting History of Varicella (Chickenpox) Illness Form - Bilingual,49,03/2015,,0,Online,24595
C-10,TVFC Patient Eligibility Screening Record - Bilingual,50,08/2016,,500,InStock,8589962023
C-11,School/Daycare Immunization Record - English,51,01/2013,,500,InStock,8589977210
C-33,Monthly Vaccine Report-Form - English,52,03/2016,Please contact your Health Service Region (HSR) representative to obtain a copy or download from our website,0,CNA,
C-61,Adult Vaccination Reminder Card - Bilingual,222,04/2009,,250,InStock,24585
C-62,Adolescent Vaccination Reminder Card - Bilingual,223,04/2009,,0,Online,24586
C-63,Clinic Delinquent Reminder Cards (Non-Postage) - Bilingual,53,05/2008,,250,InStock,24588
C-64,&#8220;Vaccines Build Your Child's Health&#8221; Reminder Postcard - Bilingual,54,05/2008,,0,Online,24589
C-68,Biological Order/Transfer Form - English,55,03/2014,Please contact your Health Service Region (HSR) representative to obtain a copy or download from our website,0,Online,60145
C-76,Vaccine Adverse Event Reporting System Form - English,56,07/2007,,50,InStock,24593
